CustomerId,Surname,Age,GenderID,EstimatedSalary,GeographyID,Bank DOJ
15634602,Hargrave,42,2,101348.88,1,23-03-2016
15647311,Hill,41,2,112542.58,2,09-10-2018
15619304,Onio,42,2,113931.57,1,25-03-2019
15701354,Boni,39,2,93826.63,1,24-10-2019
15737888,Mitchell,43,2,79084.1,2,22-11-2019
15574012,Chu,44,1,149756.71,2,21-12-2018
15592531,Bartlett,50,1,10062.8,1,28-09-2016
15656148,Obinna,29,2,119346.88,3,20-04-2018
15792365,He,44,1,74940.5,1,04-02-2018
15592389,H?,27,1,71725.73,1,27-05-2018
15767821,Bearce,31,1,80181.12,1,27-07-2016
15737173,Andrews,24,1,76390.01,2,12-09-2016
15632264,Kay,34,2,26260.98,1,04-11-2019
15691483,Chin,25,2,190857.79,1,21-12-2016
15600882,Scott,35,2,65951.65,2,22-03-2017
15643966,Goforth,45,1,64327.26,3,18-01-2019
15737452,Romeo,58,1,5097.67,3,08-10-2018
15788218,Henderson,24,2,14406.41,2,09-10-2019
15661507,Muldrow,45,1,158684.81,2,20-10-2019
15568982,Hao,24,2,54724.03,1,15-03-2018
15577657,McDonald,41,1,170886.17,1,30-12-2017
15597945,Dellucci,32,2,138555.46,2,05-03-2018
15699309,Gerasimov,38,2,118913.53,2,03-04-2019
15725737,Mosman,46,1,8487.75,1,26-09-2019
15625047,Yen,38,2,187616.16,1,08-11-2017
15738191,Maclean,25,1,124508.29,1,23-11-2016
15736816,Young,36,1,170041.95,3,26-10-2018
15700772,Nebechi,44,1,38433.35,1,02-12-2018
15728693,McWilliams,43,2,100187.43,3,26-06-2018
15656300,Lucciano,29,1,53483.21,1,22-08-2019
15589475,Azikiwe,39,2,140469.38,2,12-11-2017
15706552,Odinakachukwu,36,1,156731.91,1,26-08-2019
15750181,Sanderson,41,1,81898.81,3,03-09-2018
15659428,Maggard,42,2,34410.55,2,28-08-2019
15732963,Clements,29,2,142033.07,2,31-01-2017
15794171,Lombardo,45,2,27822.99,1,23-09-2017
15788448,Watson,31,1,114066.77,2,09-04-2016
15729599,Lorenzo,33,1,98453.45,2,18-01-2019
15717426,Armstrong,36,1,40812.9,1,11-03-2018
15585768,Cameron,41,1,178074.04,3,22-11-2016
15619360,Hsiao,40,1,70154.22,2,11-05-2018
15738148,Clarke,51,2,181297.65,1,09-11-2016
15687946,Osborne,61,2,94153.83,1,08-03-2018
15755196,Lavine,49,2,194365.76,1,01-05-2017
15684171,Bianchi,61,2,158338.39,2,17-09-2016
15754849,Tyler,32,2,126517.46,3,14-12-2016
15602280,Martin,27,2,119708.21,3,29-05-2018
15771573,Okagbue,39,2,117622.8,3,25-03-2016
15766205,Yin,38,1,90878.13,3,30-11-2018
15771873,Buccho,37,2,194099.12,3,21-06-2019
15616550,Chidiebele,44,1,198059.16,3,30-03-2017
15768193,Trevisani,36,1,86424.57,3,12-05-2019
15683553,O'Brien,33,2,116978.19,1,13-03-2018
15702298,Parkhill,41,1,164040.94,3,17-09-2018
15569590,Yoo,42,1,40014.76,3,21-06-2016
15760861,Phillipps,43,1,113410.49,1,20-03-2017
15630053,Tsao,45,1,87107.57,1,21-09-2017
15647091,Endrizzi,19,1,45613.75,3,28-08-2017
15623944,T'ien,66,2,1643.11,2,21-09-2016
15804771,Velazquez,51,1,46775.28,1,10-01-2019
15651280,Hunter,35,1,84509.57,3,19-06-2017
15773469,Clark,27,2,126494.82,3,29-11-2018
15702014,Jeffrey,33,1,178798.13,2,11-06-2018
15751208,Pirozzi,56,1,99398.36,2,27-01-2019
15592461,Jackson,26,1,92840.67,3,02-04-2019
